time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-03T06:47:03.579Z,38.6524,141.934,50.08,4.1,mb,,140,2.237,0.81,us,us6000de45,2021-04-16T19:03:09.040Z,"50 km SSE of ?funato, Japan",earthquake,8.9,7.7,0.14,14,reviewed,us,us
2021-01-09T05:36:33.842Z,37.8559,142.6165,34.87,4.6,mb,,134,3.167,0.54,us,us6000d6yj,2021-03-20T21:23:08.040Z,"131 km ESE of Ishinomaki, Japan",earthquake,8.4,5.7,0.098,31,reviewed,us,us
2021-01-02T13:36:03.744Z,38.7475,142.3096,53.82,4,mb,,142,2.253,0.89,us,us6000d50s,2021-03-13T22:58:44.040Z,"62 km SE of ?funato, Japan",earthquake,3.6,8.8,0.232,9,reviewed,us,us
2020-12-20T09:35:47.877Z,38.6852,142.4733,43,4.9,mb,,131,2.365,0.86,us,us7000csn1,2021-02-27T23:26:29.040Z,"78 km ESE of ?funato, Japan",earthquake,6.7,4.5,0.087,42,reviewed,us,us
2020-10-27T03:44:25.257Z,38.623,142.0217,61.98,4.4,mb,,142,2.286,0.9,us,us7000c82f,2021-01-09T20:05:42.040Z,"56 km SSE of ?funato, Japan",earthquake,9,8.9,0.154,12,reviewed,us,us
2020-10-08T01:22:27.690Z,38.1714,142.0631,46.28,4.1,mb,,130,2.726,0.85,us,us6000c811,2020-12-19T17:22:51.040Z,"72 km ESE of Ishinomaki, Japan",earthquake,6.4,7.8,0.198,7,reviewed,us,us
2020-09-30T13:58:44.756Z,38.7988,142.141,43.03,4.8,mb,,107,2.154,0.63,us,us6000c356,2020-12-12T22:28:24.040Z,"48 km SE of Ōfunato, Japan",earthquake,7,5.3,0.059,89,reviewed,us,us
2020-09-12T20:29:36.561Z,38.4366,142.4798,36.17,4.2,mb,,157,2.591,0.57,us,us7000bpe0,2020-11-21T20:10:46.040Z,"96 km SE of ?funato, Japan",earthquake,5.6,13.3,0.265,4,reviewed,us,us
2020-09-12T03:49:05.223Z,38.6964,142.2752,43.77,4.5,mwr,,121,2.289,0.74,us,us7000bma2,2020-11-21T20:10:37.040Z,"63 km SE of ?funato, Japan",earthquake,6.6,5.5,0.071,19,reviewed,us,us
2020-09-12T03:02:52.861Z,38.6945,142.1616,35,4.2,mb,,135,2.256,0.78,us,us7000bpdc,2020-11-21T20:10:46.040Z,"56 km SE of ?funato, Japan",earthquake,8.7,2,0.186,8,reviewed,us,us
2020-09-12T02:50:43.442Z,38.6814,142.3417,38.76,5,mb,,130,2.324,1.07,us,us7000bm9p,2020-11-21T20:10:37.040Z,"69 km SE of ?funato, Japan",earthquake,8.1,6.9,0.095,35,reviewed,us,us
2020-09-12T02:44:11.224Z,38.7482,142.2446,34,6.1,mww,,47,2.232,0.97,us,us7000bm9m,2021-10-17T08:23:32.606Z,"58 km SE of ?funato, Japan",earthquake,5.7,1.7,0.057,30,reviewed,us,us
2020-09-11T02:13:19.421Z,38.7021,142.7479,35,4.4,mb,,151,2.455,0.69,us,us7000blkf,2020-11-21T20:10:35.040Z,"98 km ESE of ?funato, Japan",earthquake,8.9,2,0.139,15,reviewed,us,us
2020-07-25T00:17:02.838Z,38.3971,142.3274,35,4.5,mb,,157,2.58,0.5,us,us6000b6n8,2020-10-03T17:32:32.040Z,"89 km E of Ishinomaki, Japan",earthquake,8.6,2,0.151,13,reviewed,us,us
2020-06-12T17:42:02.895Z,38.3451,142.5191,64.19,4.4,mb,,126,2.687,0.83,us,us6000aau3,2020-08-22T19:14:47.040Z,"106 km SE of ?funato, Japan",earthquake,7.9,8.6,0.1,34,reviewed,us,us
2020-05-28T17:46:06.074Z,38.6824,142.4472,25.24,4.6,mb,,131,2.358,1.01,us,us6000a608,2020-08-15T20:19:44.040Z,"76 km SE of ?funato, Japan",earthquake,5.8,5.8,0.173,10,reviewed,us,us
2020-05-14T21:40:15.526Z,38.7472,142.1266,35.85,4.5,mb,,186,2.197,0.73,us,us70009gbb,2020-08-02T00:31:55.040Z,"50 km SE of ?funato, Japan",earthquake,10.2,9.8,0.093,34,reviewed,us,us
2020-04-22T11:26:39.332Z,38.4597,142.1853,41.95,4.4,mb,,136,2.482,0.42,us,us700091np,2020-07-11T22:19:21.040Z,"77 km E of Ishinomaki, Japan",earthquake,9,7.7,0.073,53,reviewed,us,us
2020-03-25T22:18:22.156Z,38.6159,142.3339,53.08,4.1,mb,,143,2.381,0.7,us,us70008g42,2020-06-13T18:44:45.040Z,"73 km SE of ?funato, Japan",earthquake,7.6,8.9,0.14,14,reviewed,us,us
2020-03-17T07:54:52.518Z,38.1946,141.9151,57.38,4.2,mb,,159,2.673,0.8,us,us70008gxy,2020-05-30T22:17:24.040Z,"59 km ESE of Ishinomaki, Japan",earthquake,8.2,8.9,0.186,8,reviewed,us,us
2020-03-11T05:03:39.028Z,38.3565,141.9805,38.27,4,mb,,155,3.478,0.77,us,us60008gkg,2020-05-30T22:17:14.040Z,"59 km E of Ishinomaki, Japan",earthquake,7.1,9.7,0.211,6,reviewed,us,us
2020-03-10T00:13:34.044Z,38.4076,142.0393,48.54,4.3,mb,,176,3.571,0.55,us,us60008f5d,2020-05-23T22:03:17.040Z,"64 km E of Ishinomaki, Japan",earthquake,11,9.1,0.161,11,reviewed,us,us
2019-12-30T04:32:31.444Z,38.5443,142.0323,51,4.4,mb,,136,3.012,0.75,us,us7000705i,2020-03-14T22:23:18.040Z,"64 km SSE of ?funato, Japan",earthquake,7,5.2,0.108,25,reviewed,us,us
2019-12-27T05:10:01.974Z,37.9223,142.7105,10,4.9,mb,,122,2.628,0.53,us,us70006rff,2020-03-14T22:24:16.040Z,"135 km ESE of Ishinomaki, Japan",earthquake,5.2,1.9,0.068,68,reviewed,us,us
2019-11-25T01:41:00.523Z,37.9201,141.9323,35,4.5,mb,,122,2.906,0.75,us,us70006fk2,2020-02-14T22:02:31.040Z,"78 km SE of Ishinomaki, Japan",earthquake,6.1,2,0.163,11,reviewed,us,us
2019-11-21T16:29:14.032Z,38.2953,142.1109,32.72,4.1,mb,,156,1.126,1,us,us70006ef8,2020-02-14T22:02:25.040Z,"72 km E of Ishinomaki, Japan",earthquake,6.5,6.8,0.186,8,reviewed,us,us
2019-11-07T00:11:52.199Z,38.3175,142.2211,35.07,4.2,mb,,178,1.214,0.99,us,us60006bx6,2020-02-01T23:21:43.040Z,"81 km E of Ishinomaki, Japan",earthquake,4.2,11.6,0.304,3,reviewed,us,us
2019-11-02T15:33:40.651Z,38.3548,142.2748,25.85,4.5,mb,,143,1.267,0.76,us,us700062bq,2020-01-18T20:00:55.040Z,"85 km E of Ishinomaki, Japan",earthquake,6.5,6.4,0.164,11,reviewed,us,us
2019-10-23T08:26:36.390Z,38.4408,142.1777,41.97,4.5,mb,,122,1.234,1.02,us,us700061yd,2020-01-11T21:26:27.040Z,"76 km E of Ishinomaki, Japan",earthquake,5.7,6.8,0.156,12,reviewed,us,us
2019-10-20T22:53:32.157Z,38.5676,142.1823,35,4.5,mb,,147,1.299,0.74,us,us70005whb,2020-01-03T16:09:40.040Z,"69 km SE of ?funato, Japan",earthquake,6.9,2,0.14,15,reviewed,us,us
2019-10-19T09:08:46.828Z,38.6369,142.2055,40.38,4.7,mb,,155,1.352,0.55,us,us70005vwn,2020-01-03T16:09:34.040Z,"64 km SE of ?funato, Japan",earthquake,5.2,7,0.111,25,reviewed,us,us
2019-10-03T01:43:55.400Z,38.5069,142.1985,35,4.4,mb,,148,1.279,0.89,us,us70005tf0,2019-12-27T15:50:02.040Z,"75 km SSE of ?funato, Japan",earthquake,3.6,2,0.202,7,reviewed,us,us
2019-08-23T16:39:31.653Z,38.6461,142.6622,65.43,4.7,mb,,134,1.665,1.14,us,us700059px,2019-11-08T22:13:53.040Z,"94 km ESE of ?funato, Japan",earthquake,7.6,11.4,0.208,7,reviewed,us,us
2019-08-15T09:07:37.373Z,38.5661,142.2078,38.19,4.8,mb,,135,1.316,0.81,us,us600055br,2019-11-02T15:26:06.040Z,"70 km SE of ?funato, Japan",earthquake,7.6,7.1,0.058,91,reviewed,us,us
